word,category
adblockers,compound
af,acronym
algs,clipping
asf,acronym
async,clipping
atm,acronym
babyyy,respelling
belter,derivation
belters,derivation
binged,slang
binging,slang
blackscreen,compound
bodying,derivation
boi,respelling
bois,respelling
boomin,respelling
booped,onomatopoeia
boops,onomatopoeia
bootloop,compound
botting,derivation
boutta,respelling
bralette,compound
bralettes,compound
bruv,clipping
bullshittery,derivation
bussy,compound
choreo,clipping
clunkiness,derivation
collab,clipping
collabs,clipping
convo,clipping
couldve,respelling
creds,clipping
cringefest,compound
cringy,derivation
crit,clipping
crossplay,compound
cuck,clipping
cuckhold,respelling
cuckold,slang
cuckoldry,derivation
cuckolds,slang
dailys,derivation
debuffed,derivation
debuffing,derivation
debuffs,derivation
decarb,derivation
decarbed,derivation
defo,clipping
dgaf,acronym
dicked,derivation
disrupters,derivation
dmg,clipping
dming,derivation
dms,clipping
dogshit,compound
dogwhistle,compound
droprate,compound
dumpstered,derivation
edgy,derivation
emojis,slang
ennemies,respelling
fanarts,compound
fancam,compound
farmable,derivation
favourable,respelling
feeing,respelling
fest,clipping
fests,clipping
ffs,acronym
floof,slang
floofy,slang
fmil,acronym
fomo,acronym
friendo,slang
fucc,respelling
fuckery,derivation
fucky,derivation
gaffs,slang
garbo,clipping
gaslighted,compound
genocided,derivation
genociding,derivation
goofs,slang
gooo,respelling
gotchu,compound
grinded,derivation
grinding,derivation
gtfoh,acronym
havent,respelling
headcannon,compound
headcanon,compound
headshot,compound
hella,slang
hellscape,compound
hmu,acronym
homelab,compound
hotswap,compound
husbando,slang
imao,acronym
influencers,derivation
insta,clipping
instakilled,compound
jabronis,slang
jfc,acronym
keycap,compound
kys,acronym
leaners,derivation
litterally,respelling
litteraly,respelling
lmao,acronym
lmaoo,respelling
lmaooo,respelling
lmfao,acronym
lmfaoo,respelling
lmfaooo,respelling
lool,respelling
loool,respelling
lowkey,compound
lvling,derivation
memed,derivation
memeing,derivation
metas,slang
mgtow,acronym
microdosing,derivation
millenial,derivation
millenials,derivation
millennials,derivation
func,clipping
multihit,compound
murdery,derivation
murked,derivation
neet,acronym
ngl,acronym
nimby,acronym
nimbys,acronym
nonbinary,derivation
npcs,acronym
nuker,clipping
nukers,clipping
ofc,clipping
oneshot,compound
oneshots,compound
opiod,slang
opioid,respelling
opioids,respelling
otp,acronym
otps,acronym
overperform,derivation
overperformed,derivation
overperforming,derivation
oversharing,derivation
pickable,derivation
platinumed,derivation
pmd,acronym
preciate,clipping
prioritises,respelling
proced,clipping
psychs,clipping
pushback,compound
quippy,derivation
rabbithole,compound
ragdolled,derivation
rando,clipping
randoms,derivation
randos,clipping
ransomware,compound
rapidfire,compound
reclassing,derivation
retweets,derivation
reupload,derivation
reuploaded,derivation
rlly,clipping
rn,acronym
saaame,respelling
sameee,respelling
sandbagging,compound
savage,slang
savescum,compound
savescumming,compound
scanlations,compound
scannable,derivation
screentime,compound
scumming,derivation
secs,clipping
sekrit,respelling
shadiness,derivation
shilled,derivation
shilling,derivation
shipper,derivation
shippers,derivation
