word,tag
lifehacks,N
likeability,N
lipsyncing,V
listers,N
lit,A
litterally,R
litteraly,R
lmao,~
lmaoo,~
lmaooo,~
lmfao,~
lmfaoo,~
lmfaooo,~
longneck,N
loo,N
lool,~
loool,~
loosies,N
lowkey,R
lowlight,N
lul,~
lulling,V
lvling,V
lyin,V
manip,N
mansplaining,N
marketcap,N
mashers,N
masterworks,N
meaningfulness,N
mechanised,V
medevac,N/V
medpacks,N
meirl,^
meme,N/V
memed,V
memeing,V
memelord,N
memery,N
memes,N
memester,N
memetics,N
memey,A
meming,V
merced,V
metas,N
methylated,A
mgtow,N
microdose,N/V
microdosing,V
microtransactions,N
militarist,A
millenial,N
millenials,N
millennial,N
millennials,N
mils,N
minimax,A
minimises,V
mishandle,V
mispoke,V
misquotes,V
misreported,V
misreporting,V
misspeak,V
mixtape,N
mlem,G
modalert,N
modmailing,V
modpost,N
mollies,N
mollys,N
monomyth,N
mooch,V
mooks,N
moonlights,V
moshpit,N
moslem,^
motherships,N
moviegoer,N
mudslinging,N/V
gamethrowing,N
func,N
flopper,N
evac,N
crony,N
bartard,N
measurables,N
lowlights,N
muling,V
multidisciplinary,A
multihit,N
multikill,N
multikills,N
multilayered,A
multipart,A
multiversal,A
muncher,N
munchers,N
murdery,A
murked,V
muzzies,N
naded,V
naiive,A
nailbiter,N
nakedly,R
nands,N
nanoscience,N
naturopath,N
naturopaths,N
naturopathic,A
naturopathy,N
nerdy,A
neet,N
neocon,N
neocons,N
neurodiversity,N
ngl,~
nibs,N
nimbly,R
nimby,N
nimbys,N
nonbinary,A
nonmagical,A
nonstarter,N
nontoxic,A
nonviable,A
nonwhite,N
nonwhites,N
nooch,N
novelizations,N
npcs,N
nuker,N
nukers,N
numba,N
numbah,N
nutted,V
nuzzled,V
observables,N
obstructionists,N
obviosuly,R
ofc,~
omf,~
offshoring,V
oneshot,V/N
oneshots,V/N
oped,N
opiod,N
opiods,N
opioid,N
opioids,N
ortho,N
otp,N
otps,N
outshot,V
outspending,V
outspent,V
overbought,V
overdiscussed,V
overdrafts,V
overemphasize,V
overheal,V
overlanding,V
overperform,V
overperformed,V
overperforming,V
oversharing,V
oversleeping,V
overstays,V
overstuffed,V
oversubscribed,V
overtrain,V
packable,A
pantsuit,N
parlament,N
partys,N
pasting,V
patois,N
pawpaw,N
paywall,N
pdq,R
peekers,N
peeper,N
pep,N
pepperspray,V
percenter,N
perf,A
perhpas,R
persuader,N
perturbator,N
pewds,^
phonebanking,V
pickable,A
pigsty,N
pikey,A
pillager,N
pinchy,A
platinumed,V
playrate,N
playspace,N
plumping,V
pmd,V
polarisation,N
polarizes,V
poots,N
possibe,A
postcolonial,A
postmarked,V
potentiates,V
pourover,A
pple,N
prattling,V
preciate,V
precip,V
prehab,N
primitivism,N
prioritises,V
proced,N
procedurals,N
prodrug,A
proletariat,N
provisioner,N
psychs,N
pushback,N
pupper,N
puppers,N
purp,N
purps,N
pussys,N
putback,V
pvping,V
pwned,V
qotd,N
quantums,N
quickdraw,N
quickstart,N
quippy,A
rabbithole,N
ragdolled,V
ragequitting,V
rando,N
randoms,N
randos,N
ransomware,N
rapidfire,A
readded,V
realigning,V
reallocating,V
recalibrating,V
recked,V
reclass,V
reclassed,V
reclassing,V
recomping,V
reconditioning,V
recyclers,N
redial,V
reentered,V
refi,V
reformulation,N
regressives,N
rehosted,V
reincarnating,V
repacked,V
repacking,V
repeatably,R
repub,N
reraise,V
rerunning,V
resettling,V
resistible,A
respeck,N
respek,N
resubmit,V
retrofits,V
retweeted,V
retweets,V
reupload,V
reuploaded,V
revite,V
rlly,R
rmv,V
rn,R
roguish,A
roomscale,A
ropey,A
roughnecks,N
royalists,N
rt,N
rump,N
saaame,A
saddly,R
safespace,N
safespot,N
safezone,N
sameee,A
sandbagging,V
savage,A
savagery,N
savescum,V
savescumming,V
scaleable,A
scanlations,N
scannable,A
scapegoated,V
scaremongering,V
scatterer,N
schizoid,A
schmeckles,N
schmoozing,V
scootaloo,N
scoresheet,N
scrams,V
screencapping,V
screentime,N
scrounger,N
scumming,V
seaworthy,A
secs,N
segmenting,V
sekrit,N
sexting,V
shadiness,N
shadowboxing,V
shakeup,N
shambolic,A
sharts,V
shill,N
shilled,V
shilling,V
shills,V
shipper,N
shippers,N
shitbot,N
shitfest,N
shitlord,N
shitlords,N
shitpost,N
shitposted,V
shitposter,N
shitposters,N
shitposting,V
shitposts,N
shitsauce,N
shitshow,N
shitshows,N
shortlisted,V
shotgunner,N
shotgunners,N
shotted,V
shotting,V
shouldnt,V
shtick,N
sideload,V
sideloaded,V
sideloading,V
siiick,A
sinergy,N
skellies,N
skidrow,N
slabbed,V
slog,V/N
slurps,V
smashy,A
smd,~
smdh,~
smh,~
smol,A
smth,O
smthing,O
snacky,A
snakey,N
snarking,V
snek,N
sneks,N
snoot,N
socketing,V
softban,N
softies,N
softshell,A
soldiered,V
soneone,O
soopers,N
sorc,N
soundbyte,N
soundbytes,N
soundcards,N
spammer,N
spawner,N
spawners,N
spergs,N
spiciest,A
spinned,V
squaddie,N
squanch,N
srpgs,N
staffy,A
stanning,V
stap,~
stat,N
stationing,V
statted,V
stickered,V
stickied,V
stickying,V
stim,N
stimmed,V
stonewalled,V
stonewalling,V
streamables,N
stunlocked,V
stunners,N
sublets,N/V
subpixel,A
subtheme,N
succ,V
suicider,N
suiciders,N
summonable,A
superhot,A
superlist,N
superstate,N
superthread,N
supps,N
supress,V
supression,N
swifties,N
swingy,A
synth,N
systemless,A
sysupdater,N
tankie,A
tankier,A
tankies,N
tarrifs,N
tbf,R
tbh,R
tbis,N
tbqh,R
tbt,G
teamkills,N
telegrams,N
tesseracts,N
theocrat,N
tho,~
thoe,~
thrifted,V
thta,&
theyd,L
theyll,L
theyre,L
theyve,L
thumper,N
thumpers,N
tiddies,N
tiering,V
tierlist,N
tldw,G
tmw,R/N
toot,N
tooty,A
tradies,N
trama,N
transness,N
trappy,A
trashing,V
triggered,V/A
tropey,A
trouncing,V
trynna,V
tweet,N/V
twink,N
twinking,V
twinks,N
twinky,A
twinned,V
udf,G
ultrawide,A
unbias,V
uncharismatic,A
uncloak,V
unconsoled,A/V
uncrackable,A
uncured,A
underachieved,V
undercosted,V
undereyes,N
underlay,V
underoos,N
underperforming,A/V
underplaying,A/V
unduped,V/A
unfavorability,N
unfavored,A/V
unflappable,A
unfuck,V
unfuckable,A
unfucked,V
unhackable,A
unisex,A
unkillable,A
unlistenable,A
unmastered,A
unmissable,A
unpromoted,A
unstickied,A/V
unsticky,V
unsubstantial,A
untagged,A/V
untangled,A/V
untended,A/V
untimed,A/V
untruth,N
unupgraded,A/V
unviable,A
unwatchable,A
unwearable,A
updrafts,N
upheavals,N
uppers,N
userprofile,N
veterancy,N
vetted,V
vetting,V
vibing,V
vid,N
vids,N
viewbots,N
viewbotting,V
viz,N
vlog,N
vlogging,V
vlogs,N/V
voluntarism,N
volunteerism,N
waddup,~
waffled,V
walkies,N
wapo,^
weaponised,V
webcast,N
weeb,N
weebs,N
wehraboo,N
wehraboos,N
wewlad,~
wfh,G
whaddup,~
whap,G
whelmed,V
whitesplaining,V
whitout,&
wht,O
winglets,N
woild,V
wonk,N
wonks,N
worlders,N
wouldnt,V
wowie,!
wowow,!
wth,~
wubs,N
wutface,N
wuz,V
xans,N
xenophile,N
xenophobes,N
xenophobe,N
xers,N
xps,N
