word_chain
af/asf/hella/retardedly/lowkey/deadass
waddup/whaddup/wassup
wtf/wth/wat
cringey/cringy/cringiest/cringeworthy
edgy/edgey
boutta/tryna/gonna
tbh/tbqh/tbf/ngl
yuge/yuuuge/huge
fuckboy/fuccboi/fuckboi
bernout/berniebot/berner/sandernista
clickbaity/baity
ghosted/ghosting
lmao/lmfaooo/lmfaoo
yas/yaas/yasss
tldr/tldw
rn/atm
cuck/cucks/cuckold/cuckolds/cucking
shitfest/shitstorm/bullshittery/cringefest
shitlord/shitlords/memelord/edgelord/shitposter/memester
crybullies/libtards/tankie/tankies
recked/rekt/wrecked
gfriend/gf
muzzies/muslims
cuckservative/cuckservatives/conservatives
